Prediction,Actual,Filename
Pear Williams,Passion Fruit,web_images/gulupa-100x100.jpg
Pear Williams,Pear,web_images/pears.jpg
Onion Red,Strawberry,web_images/strawberries1.jpg
Pitahaya Red,DragonFruit,web_images/E49BE62E-6943-E411-B834-22000AF88B16.jpg
Banana Lady Finger,Ugli Fruit,web_images/F8CFCFB3-D645-E411-B834-22000AF88B16.jpg
Banana Lady Finger,Passion Fruit,web_images/A2657DDD-4643-E411-B834-22000AF88B16.jpg
Banana Lady Finger,Apple,web_images/Fruit-snacking-Future-trends-and-challenges_small.jpg
Banana Lady Finger,Lemon,web_images/Boone+Olive+Oil+CO.+Whole+Fruit+Lemon+Olive+Oil.jpg
Rambutan,Apple,web_images/apple-100px.jpg
Pepper Red,Apple Banana,web_images/home-basics-fruit-baskets-fb00459-c3_100.jpg
Cherry Rainier,Apple,web_images/4frk13.jpg
Pear Monster,pluot,web_images/pluot_splash.jpg
